Pair,1H Close,1H RSI,1H EMA50,1H EMA200,4H Close,4H RSI,4H EMA50,4H EMA200,1D Close,1D RSI,1D EMA50,1D EMA200,1H Close/EMA50,1H Close/EMA200,4H Close/EMA50,4H Close/EMA200,1D Close/EMA50,1D Close/EMA200
AIDOC/USDT,0.013000000000000001,26.05489631780149,0.014085163818216803,0.015850996156095615,0.013000000000000001,31.83494128316239,0.01570466191362019,0.019596761386006144,0.0156,38.01730585548239,0.02160145502044632,0.034391676205791366,0.9229569615077303,0.8201377296404654,0.8277796791489974,0.6633749191477717,0.7221735751241852,0.4535981295780241
AION/BTC,6.14e-05,20.47303418926285,6.799833957315312e-05,7.606904470898998e-05,6.04e-05,24.87060818583428,7.618285270731154e-05,0.00010788330292113571,7e-05,28.426042039326077,0.00012989125363925316,0.0002248267691945276,0.9029632250644213,0.8071614443811155,0.7928293290886861,0.5598642084971508,0.5389123442784756,0.3113508246850875
AIR/USDT,0.002769,40.88588556368517,0.0028529757639978,0.00330144400266413,0.002734,36.0901606665104,0.0032665317965256445,0.004149853134366393,0.002763,28.243939096027695,0.004679510214171783,0.01151902996339417,0.9705655529719163,0.8387239031664723,0.8369733314422173,0.6588184958544158,0.5904464086075336,0.23986394763972477
AIX/BTC,4.81e-06,40.67111133006739,5.090859787141707e-06,5.5945253920265996e-06,4.81e-06,33.922641301541795,5.645955886504897e-06,8.528674385513116e-06,5.43e-06,26.72486174047393,9.678230958757435e-06,1.710324653468993e-05,0.9448305789424624,0.8597690890553974,0.8519372266965423,0.563979791299139,0.5610529468804022,0.31748358353991546
AMB/BTC,2.114e-05,34.821691273065255,2.1610990390684988e-05,2.3120431496271414e-05,2.108e-05,37.48681384623358,2.3495342187054928e-05,3.3260192921581844e-05,2.227e-05,19.94350282929608,3.5744998751639865e-05,4.6402439507560073e-05,0.9782059784317891,0.9143427969071082,0.8971991057706029,0.6337906713199378,0.6230242209472262,0.4799316638594331
AMM/USDT,0.0486,39.15741997577414,0.05426154697693725,0.05788981873344785,0.0486,41.37441916181734,0.05899514648466204,0.07731141725002011,0.0561,37.29235723125005,0.0917073478469024,0.24538108990748905,0.895661895165953,0.8395258624625761,0.8237965815143007,0.6286264271010678,0.6117285181298031,0.22862397432968537
AMP/BTC,1.157e-05,46.372275284359894,1.1762108920150196e-05,1.236807773920174e-05,1.157e-05,35.60126250673964,1.2550314823324049e-05,1.5752722767745872e-05,1.182e-05,28.776496071931092,1.6894029816148944e-05,2.793752300419387e-05,0.9836671364417409,0.9354727746679534,0.9218892245235004,0.7344762026593834,0.6996554480270482,0.42308689994548293
ANT/BTC,0.00018030000000000002,34.88503804056795,0.00018998202968741916,0.0002000919408800037,0.00018030000000000002,34.855530516055886,0.00019916114481836642,0.00022516516135015542,0.00019180000000000003,31.36634554472216,0.00024653495984529246,0.0003347687139690271,0.9490371289150392,0.9010857669081584,0.9052970656722844,0.8007455457090656,0.7779829689077762,0.5729328697595839
AOA/BTC,4.76e-06,47.06064992816032,5.0486644980923065e-06,5.660399313969081e-06,4.78e-06,34.49498992547831,5.689485613385233e-06,4.8992911036215065e-06,6.35e-06,59.807142317964,4.310651171113476e-06,1.6362985925251662e-06,0.9428235926151597,0.8409300715327592,0.8401462495580351,0.9756513542268742,1.4730953046149042,3.8807098099379056
APH/BTC,1.338e-05,19.766167948640494,1.4145254946055069e-05,1.4475744541263531e-05,1.332e-05,32.164506760030285,1.46303660257358e-05,1.867759923935051e-05,1.4400000000000001e-05,34.57010636741264,1.9547904982477013e-05,1.1935025870133272e-05,0.945900236582976,0.9243047887353857,0.910435185050683,0.7131537532905747,0.7366518311250408,1.2065327848207843
APPC/BTC,1.251e-05,23.91859439691726,1.3777858443152274e-05,1.5892795595952874e-05,1.245e-05,15.398452500284936,1.5855358930189654e-05,2.2350962370136734e-05,1.421e-05,25.793097182418972,2.503202512675535e-05,4.2827264716380335e-05,0.9079785549849069,0.7871491157405744,0.7852234726956812,0.5570229949755776,0.5676728082544035,0.3317979818254664
ARDR/BTC,1.767e-05,33.00549925205637,1.815313578600202e-05,1.84261903281128e-05,1.767e-05,40.38775112679697,1.8614750138662197e-05,2.1519995627514588e-05,1.844e-05,39.97728086048577,2.288797605394889e-05,4.415504972673268e-05,0.9733855466241501,0.9589611137925194,0.9492472296633203,0.8210968211075219,0.8056631987265,0.4176192782959526
ARK/BTC,0.000109,17.69119672791471,0.00011951320726418389,0.0001230428539439955,0.0001099,22.22594069231027,0.00012404044796178272,0.00016090252089165827,0.00011750000000000001,27.08507990725552,0.00017789258179515288,0.00030318040469601786,0.9120330923682397,0.8858702192458305,0.8860013149409179,0.6830222385017809,0.66051096012145,0.3875580287512668
ARN/BTC,4.662e-05,22.09991217104978,4.96616919079879e-05,5.605066694949374e-05,4.662e-05,16.57527858146583,5.5677421746734936e-05,7.439660766350736e-05,4.957e-05,17.924348102660804,8.402745976997539e-05,0.00013233348170691765,0.9387517462428892,0.8317474623809284,0.8373232548745653,0.626641475520769,0.5899261995506891,0.3745839628838902
ART/BTC,2.7000000000000002e-05,50.767093194910615,2.785882054508843e-05,2.9721963619022706e-05,2.7000000000000002e-05,41.06313942346661,3.019519539026033e-05,4.125004231908764e-05,3.2e-05,41.19326745415003,4.581889325205715e-05,6.01208668409287e-05,0.9691724011180424,0.9084191188067875,0.8941819932289308,0.6545447830366536,0.6984018540989809,0.5322611213285974
ARY/BTC,3.47e-06,34.70273692553511,3.680743328319945e-06,4.133987247853726e-06,3.47e-06,33.52935805835249,4.08750883064988e-06,5.106714608184599e-06,3.89e-06,29.07105772339839,6.050630675041955e-06,8.489534504996402e-06,0.9427443563645234,0.8393833342861777,0.8489278295817891,0.6794975373087395,0.6429081874135422,0.458211224385812
AST/BTC,1.236e-05,38.34759531000114,1.2898456736709872e-05,1.4140517747240112e-05,1.232e-05,31.958570733381467,1.4236665030524204e-05,1.8228679612838766e-05,1.292e-05,35.458828947220844,2.047946042738517e-05,3.745870337328525e-05,0.9582541735262492,0.874083977753387,0.8653712069213705,0.6758580578333725,0.6308759962602996,0.34491316667448424
ATB/USDT,0.03,39.821023796014295,0.03176025768533878,0.03596628724075825,0.03,39.21919317791553,0.03590134842903623,0.046813892178270346,0.033,41.81164235174492,0.04748054857776599,0.025599142853936326,0.9445767190311132,0.834114452770175,0.8356232095097758,0.6408354145337467,0.6950214559115923,1.2891056621814063
ATL/BTC,6e-06,59.02522130342042,5.696075689136278e-06,5.994105722625427e-06,6e-06,51.91462638767466,6.008955898238579e-06,7.40527778191769e-06,5e-06,18.987179419395787,8.633665714319231e-06,2.480695494726087e-05,1.053356789384554,1.0009833455810304,0.9985095749760446,0.8102329415178569,0.5791282828691559,0.20155637846845403
ATM/BTC,1e-07,42.599745698284,1.0303557627253275e-07,1.1372095723973446e-07,1e-07,47.347466764365294,1.1263771323029892e-07,1.5012962152111445e-07,1e-07,45.53056906207103,1.8457011226725192e-07,3.055355033169521e-07,0.9705385617050993,0.8793453944393961,0.8878021146926174,0.6660910684167405,0.541799529574989,0.3272942061213207
ATS/BTC,3e-07,41.915375243368956,3.332174628923005e-07,3.795524957790657e-07,3e-07,45.91831163160144,3.733189746021468e-07,5.890312882305004e-07,3e-07,32.86906314447854,6.89566121312585e-07,1.2099614001633406e-06,0.9003129589788733,0.790404498287445,0.8036023358301456,0.5093108057149651,0.43505617623579274,0.24794179381218362
AUC/BTC,9.800000000000001e-06,52.19413613879361,9.678274614568213e-06,1.2583327313539707e-05,9.800000000000001e-06,44.24972113959257,1.2273802844325052e-05,1.0910131249875193e-05,9.800000000000001e-06,37.72622311974273,1.0194172904970419e-05,3.7305355849901015e-06,1.0125771782966937,0.7788083195972471,0.7984485431531235,0.8982476723286082,0.9613335080104214,2.6269686420980767
AUR/BTC,3.298e-05,86.9601882669903,3.0046534196070063e-05,3.1283021799138814e-05,3.298e-05,66.88541174115711,3.151690240732057e-05,4.336177997960392e-05,2.964e-05,23.25615225839537,4.947132301176465e-05,9.751902525119554e-05,1.0976307545085722,1.0542459808312987,1.046422632965973,0.7605776334715226,0.5991349775091196,0.30394069181527866
AUTO/BTC,7.6e-07,48.93048044410713,7.63723610362734e-07,7.812044725427916e-07,7.6e-07,46.53090991114956,7.825723519272639e-07,8.318011933031441e-07,7.6e-07,45.14049647753618,8.530005911005519e-07,7.217859767773707e-07,0.9951244006179599,0.9728566933650907,0.971156210832552,0.9136798625907037,0.8909724189281495,1.0529437041617895
AVH/BTC,2.6e-07,59.20843965478021,2.466464483694279e-07,2.3600305422198863e-07,2.6e-07,61.148042592958795,2.53671447180068e-07,1.9189099615192193e-06,2.2e-07,7.338967096059751,2.218585176032982e-06,3.293669102902669e-06,1.054140457804489,1.1016806577233507,1.0249478326799613,0.1354935902225217,0.09916229603290626,0.06679480941364656
AVT/BTC,8.240000000000001e-05,33.97528582564325,8.610640850862355e-05,9.268518229089893e-05,8.240000000000001e-05,41.292271539584206,9.221971238517707e-05,0.0001087082182896538,0.000118,54.8374609988087,0.00011468157854591111,0.00014371215342261714,0.956955485975793,0.8890309967927974,0.8935182930937504,0.7579923698173825,1.028935958993278,0.8210857411133148
B2X/USDT,17.43,65.48868790229977,16.974769104851724,18.850752718330494,17.59,48.55877608286504,18.641172722150273,21.11114417241612,17.41,30.29225628766843,19.933718657813746,9.609318312699793,1.0268180905634918,0.9246315126212996,0.9436101613445584,0.8332092214586427,0.8733944879459568,1.811783045732883
BANCA/BTC,7e-08,28.980471684007053,7.051046316466696e-08,7.624723976442954e-08,7e-08,39.400704615200354,7.566638147582259e-08,1.0458592177653e-07,7e-08,32.40555281707314,1.2814719105570318e-07,1.2403269323502105e-07,0.9927604621816929,0.9180660207014607,0.9251136189506678,0.6693061437998304,0.5462468542878347,0.5643673306953175
BAT/BTC,3.339e-05,43.38158136641972,3.406135262255379e-05,3.5642679568251534e-05,3.333e-05,40.20545921732034,3.561008029997193e-05,3.967645284136311e-05,3.364e-05,39.51643487855557,3.936588007594043e-05,3.819307523190075e-05,0.9802899012850931,0.9367982543529613,0.9359709306812845,0.840044853133976,0.8545471340944323,0.8807879385397646
BAX/BTC,1e-07,49.07629172927784,1.0267976628127346e-07,1.0825744592954824e-07,1e-07,46.81185393993971,1.0713804201141844e-07,1.2597782616659957e-07,1.1e-07,44.91041070440643,1.1953147028176506e-07,6.066548399089996e-08,0.973901710353209,0.9237239909121631,0.9333752803634614,0.7937904871271143,0.9202597419801075,1.8132221613281847
BAY/BTC,3.12e-06,29.806731838436427,3.3141269834684464e-06,3.555765953166291e-06,3.12e-06,32.46706587914285,3.5458556775051665e-06,3.982809932434162e-06,3.27e-06,32.33877257224182,4.190955764752107e-06,6.442416595749863e-06,0.9414243979072643,0.8774480775996362,0.8799004482312166,0.7833665308987414,0.7802516140834092,0.507573509319043
BBC/BTC,3.57e-06,47.843644068855156,3.6191474304038896e-06,3.6259122799600687e-06,3.57e-06,46.1717430260557,3.5951506479186052e-06,3.285924845950528e-06,3.5000000000000004e-06,52.336757234330435,3.3604665078885494e-06,2.032978106464414e-06,0.9864201634918187,0.9845798034692984,0.9930042853883839,1.086452115421799,1.0415220600425275,1.7216122440624353
BCD/USDT,1.23,44.39651810770229,1.2720476765726685,1.4280515203907742,1.23,38.09131564892972,1.4208721936429192,1.7473683225728027,1.35,31.131180948606357,1.900540584897884,3.4315953457591086,0.9669448894510312,0.8613134627407707,0.8656654732938721,0.703915702322544,0.7103242155034198,0.3934030280313731
BCH/USDT,545.31,26.70757112886456,573.6440560137149,622.564384367719,545.73,33.594972432789696,614.7712489494897,706.296556116112,544.0,26.977964968719142,759.918289569765,1128.9576538695576,0.9506069038514755,0.875909405826067,0.8876960347975508,0.7726641101026187,0.7158664391509656,0.4818604118014643
BCI/USD,1.33,33.29118599750005,1.3681003009150778,1.506329751489932,1.33,44.91369696535109,1.485421546542234,1.7601978453782476,1.21,33.04820377680316,2.0513271689276458,1.4648232555407468,0.9721509447153884,0.8829408027588105,0.8953687275480658,0.7555968799144833,0.5898620260719021,0.8260382236717853
BCN/BTC,2.8e-07,0.6284149255841132,2.911874347381312e-07,3.110239167656169e-07,2.8e-07,7.797007885078008,3.111102477677181e-07,3.818096679065268e-07,2.9e-07,17.661377688893833,4.2675561636053256e-07,5.011847899075047e-07,0.9615799536535902,0.9002523114999029,0.900002497536032,0.7333496858140024,0.6795458311086445,0.578628892655582
BCPT/BTC,1.412e-05,23.497014342568512,1.5463543404055762e-05,1.7631552666381014e-05,1.393e-05,17.997374587665373,1.7406717058574938e-05,2.1675102416713726e-05,1.549e-05,26.951006474276237,2.403833210076247e-05,4.3297601788229684e-05,0.9131154245214341,0.8008370145939177,0.8002657797633226,0.6426728571883722,0.644387469774106,0.35775653524096357
BCY/BTC,1.496e-05,41.005004690867075,1.557292402481487e-05,1.4416363337075894e-05,1.496e-05,46.87830650068718,1.513488939075939e-05,2.0490747729929272e-05,1.629e-05,42.310691781239534,2.2024081695511787e-05,3.719826258246538e-05,0.9606416865684184,1.0377096948941336,0.9884446204895182,0.7300856072786973,0.739644913473041,0.43792367893222056
BERRY/BTC,1.76e-06,46.64177433301881,1.790215014805473e-06,1.914972805584176e-06,1.76e-06,38.6931965801234,1.8957982487930085e-06,2.3247659863173365e-06,1.76e-06,36.23806643849826,2.5777397903504942e-06,2.3655208902410527e-06,0.983122130830326,0.919073103736896,0.9283688288669606,0.7570654467411653,0.6827686823116826,0.744022175944788
BETR/BTC,1.56e-06,36.030019732047144,1.931870601810064e-06,2.084033850177284e-06,1.56e-06,26.42216148709065,2.147559073776012e-06,3.7676115872735933e-06,2.15e-06,32.24193364766925,4.590569413543259e-06,4.7134454456828035e-06,0.8075075000045863,0.748548302066828,0.7264060947376325,0.4140554204869307,0.4683514846016694,0.4561419082444784
BITB/BTC,3.5e-07,37.794699041836665,3.680472614101709e-07,3.847486363756083e-07,3.5e-07,29.22671574530427,3.8667496131368256e-07,4.633918130661032e-07,3.7e-07,25.369997861765274,5.238544992360175e-07,8.664331428989366e-07,0.9509648262535008,0.9096848355254853,0.9051529967467153,0.7553003530299147,0.7063029916505502,0.427038142564634
BKX/BTC,1.84e-05,44.40499562735959,1.8758807651581165e-05,1.9677676650297464e-05,1.84e-05,44.00012479571143,1.9742346837027748e-05,2.3713035559904113e-05,1.821e-05,28.16034807133918,2.5709882001129278e-05,2.4733559245254505e-05,0.9808725768585339,0.9350697405489611,0.9320067240177288,0.7759445201993533,0.7082879648844809,0.7362466444652059
BLK/BTC,1.216e-05,47.192633894735785,1.2198988081180439e-05,1.2849068795611972e-05,1.1900000000000001e-05,43.98281665770743,1.275692064718244e-05,1.6266952443940654e-05,1.166e-05,30.49234448283969,1.7729098199563467e-05,2.847272310129009e-05,0.9968039905506109,0.9463720829444627,0.9328269987027236,0.7315445250737598,0.6576758653345999,0.4095147470974313
BLOCK/BTC,0.0008849,47.70394984848095,0.0008956494848572898,0.000987747890549018,0.00085,38.97211155192046,0.0009793013289557263,0.0013963771971183894,0.0009199999999999999,22.805308626044678,0.0015700043487320693,0.002205700926115923,0.9879981119410763,0.8958763754060236,0.8679657372735251,0.6087180467814057,0.5859856380289578,0.4171009718983308
BLT/BTC,2.1e-05,53.61568994007312,2.0716563397255735e-05,2.2905623211736403e-05,2.1e-05,48.21619582700126,2.271400141076021e-05,2.844736317239934e-05,2.093e-05,30.37580088764883,2.7085702836793884e-05,1.3533429499209805e-05,1.013681641945585,0.9168054414358829,0.9245398738969768,0.7382055016042738,0.7727323941385111,1.5465407346469031
BLZ/BTC,2.193e-05,34.56292332932322,2.3454346704088002e-05,2.695741865166973e-05,2.174e-05,28.853536267686767,2.6802818207655412e-05,3.60293336708032e-05,2.356e-05,27.213792214605853,3.7895041562942855e-05,3.762277267379113e-05,0.935007923123166,0.8135051906626699,0.8111087360877084,0.6033972262333919,0.6217172228421322,0.626216472780392
BMC/USDT,0.3681,26.46795056406157,0.4093243028164781,0.4622326248027812,0.3696,28.74025035280384,0.4601492769031929,0.5549491099350511,0.4031,30.93976861400773,0.5233105981023097,0.2569298631019431,0.8992869406169584,0.7963522699356317,0.8032176047029997,0.6660070146670861,0.7702882407919284,1.5689106557460017
BMH/BTC,3.6e-07,28.932604587263388,3.818044789658729e-07,4.1351261010989415e-07,3.6e-07,42.1287117578554,4.1719921056098955e-07,8.47240578304148e-07,3.9e-07,32.652507882947056,9.513244340551973e-07,6.621483908956338e-07,0.942890981727268,0.8705901372737515,0.8628971265691604,0.4249088266293648,0.4099547809757734,0.5889918413491559
BNB/USDT,11.39,32.635462130083226,11.732834264166925,12.54386031839062,11.36,32.35616411329627,12.346088359195713,12.890300025488207,11.64,37.53527128951298,13.340683008088453,12.338850470685625,0.9707799278121596,0.9080139375676132,0.9201294911791841,0.8812828233274385,0.872519045160032,0.943361784604981
BNK/BTC,5.1e-07,54.553550602833745,5.0504260501301e-07,5.020290178985233e-07,5.1e-07,53.768670826647714,5.046001879262857e-07,5.659888784391318e-07,5e-07,42.348955777395574,5.394656591603118e-07,2.7058546110071136e-07,1.009815795613644,1.0158775326072644,1.0107011693671883,0.9010777763097813,0.9268430557345562,1.8478450319025124
BNT/USDT,1.56,19.404028411872886,1.6735316307141754,1.8207475630034269,1.56,28.075602754837732,1.802373983624948,2.138418624307727,1.61,27.727442223051828,2.0585810846152257,1.0444824216844768,0.9321604512095621,0.8567909312077788,0.8655251430463485,0.7295110425373427,0.782092098306115,1.5414333133567641
BNTY/BTC,1.59e-06,38.836947437228645,1.72876978585954e-06,1.9427287266267034e-06,1.59e-06,34.32768130595,1.9635954719965274e-06,2.848004992802565e-06,2e-06,36.17109913681436,3.385515061940998e-06,7.811778416995706e-06,0.919729169844009,0.8184364487989164,0.8097390845902358,0.5582855381286985,0.5907520608853387,0.2560236470159852
BOS/BTC,8.01e-06,38.183620383882506,8.556230351953021e-06,8.968851450851969e-06,8.01e-06,34.54967482999767,8.971552817833048e-06,1.030600036435962e-05,8.8e-06,39.18024347452781,1.1641590830634316e-05,1.595158447586998e-05,0.9361599291411853,0.8930909430146837,0.8928220301036697,0.7772171275774754,0.755910435955471,0.5516693350000305
BPT/BTC,1.201e-05,29.77471897901505,1.4145658514404977e-05,1.569448890089585e-05,1.201e-05,23.918940030285267,1.5691651803211793e-05,1.8833937557032807e-05,1.6e-05,37.636954441246935,2.138054878636357e-05,2.4155321576226973e-05,0.8490237473052126,0.7652367704254748,0.7653751275274776,0.6376786566075945,0.7483437473880341,0.6623799211080168
BQX/BTC,7.238e-05,40.831605959769604,7.469356787107968e-05,8.392701221469319e-05,7.124e-05,35.0922727236792,8.40348192549793e-05,0.00014162858186776272,7.544e-05,22.30141895033334,0.0001605340370711453,0.00027279560307713797,0.9690258754934176,0.8624160218505712,0.8477438356098901,0.5030058132370211,0.469931494755636,0.27654404671129523
BRD/BTC,5.164e-05,47.34690221837264,5.263663934363747e-05,5.258252006184446e-05,5.176e-05,45.59487773113536,5.3009146408614975e-05,5.630213544677208e-05,5.324e-05,48.17988272465304,5.753097636760511e-05,6.753739510721855e-05,0.9810656729596484,0.9820754109780984,0.9764352664918226,0.9193256985595829,0.9254145046976588,0.7883040190620202
BRK/BTC,1.031e-05,63.07196670110379,1.017204073737018e-05,1.056610746068286e-05,1.031e-05,51.117095291007004,1.0486820064782241e-05,1.1007623771045663e-05,1.009e-05,37.65880900955539,1.2423773369996413e-05,2.3230938069917026e-05,1.0135625943890476,0.9757614181347435,0.9831388291503109,0.9366235814780766,0.8121526125361793,0.4343345916395032
BRX/BTC,3.881e-05,61.36255279955928,3.2887882702356763e-05,3.5819301773431145e-05,3.881e-05,57.325913947583025,3.5431966946837724e-05,4.406381356732474e-05,3.272e-05,28.74147644369248,5.260062555644726e-05,8.742391940692067e-05,1.1800698862629688,1.0834940403217799,1.0953385697788298,0.8807680692616976,0.6220458341296192,0.37426828060296063
BSTN/BTC,5e-08,52.29054378084889,4.888142944924382e-08,5.7299388738642476e-08,5e-08,37.77646319149756,5.600648797375474e-08,4.687635087821899e-08,5e-08,45.16514709609368,4.4144665562532624e-08,1.6013146137223056e-08,1.0228833437024922,0.8726096578108904,0.8927537113812698,1.0666359275681676,1.1326396827986627,3.12243450297212
BT2/BTC,0.0011,53.86833926778735,0.0011176460613254373,0.0015759587123570305,0.0011,44.14975839371116,0.0015366832432012825,0.002159413063715746,0.0008102000000000001,34.09495501112046,0.002163333041769381,0.004565545041017935,0.9842114047227881,0.6979878288529663,0.7158274191292893,0.5093976777686098,0.37451468837980717,0.17745964451581833
BTC/USDT,6286.15,39.33022671804796,6341.811712396152,6606.966861084614,6279.95,44.804399047646406,6566.043678605804,6914.52281202195,6077.3,31.436914293922506,7061.065999340959,8818.127492459187,0.9912230581858253,0.9514426411044616,0.9564283010273011,0.9082260874288174,0.8606774105449831,0.689182596327508
BTCD/BTC,0.002471,46.0859837934111,0.0025178238179572178,0.0028092660932674107,0.002471,42.23034832447187,0.002840400249112555,0.004763692555265328,0.0025,13.352522316592864,0.0053674952997139645,0.009220318177792777,0.9814030602049006,0.8795891588632037,0.8699478183653979,0.5187152553052137,0.4657665932438219,0.27114031769763364
BTCP/BTC,0.0005648,38.47788138287288,0.0006103144033425485,0.0006657514613249067,0.0005648,27.639919959549182,0.0006722934669617811,0.0009596854648175518,0.0006657,28.767339267032586,0.00095522963572656,0.0005217137038122965,0.9254246613003447,0.8483646417778731,0.8401093090379651,0.5885261585235904,0.6969004887433795,1.2759871844185011
BTG/BTC,0.002926,29.71996127884588,0.003119906346416236,0.003291297141790921,0.002928,27.893233203308753,0.0032804179296399274,0.0037351750950768655,0.003166,33.754399832767035,0.0040043146521917365,0.007927659273487717,0.9378486643873232,0.8890111934432792,0.8925691978282139,0.783898994148692,0.7906471581265747,0.3993612604653657
